account,amount
1EFZfquf5NWX2gszAXW93fgCEjmrKTzDUFBnUZPquYrpnHW,57500000000
1HqUjQujiGoFjrDWuRB9wFdGUMCu44nwiPRDabD6dXrRFj8,60000000000
143PikNqBomPMQ6YMLVg2ZseURAyFmSQBVupNvEHjUau9iJg,100000000000
15twy7tTDrqtigGWMaX6qno6vJM8ADU7LKJDn5b4JPgv42oL,400000000000
16A8RPPBgGnKH3Ns7LQPdYXmkDtotGKzDUCdRNkssX4DKeek,50000000000
16ca7WaB7UGknqtPkGo1yHDsL1RfEp7JdCaW1ayygpwLhoCK,50000000000
1565TwncvdWUvCaeZ9zA6QZgf9bbQPHBi7A7HG3MmNNzNFCC,62000000000
12rqMRPL1PvxW6yycsAEUwxJoXRGcAZJNzoNDTJmySgJkt4k,50000000000
13onm8qrG7k8av65XBdZN6aabZZWC4oQeEe8u94BuSCStSSv,60000000000
13BC81KEpn5saYGSH9VhngATYX9sMs1uHSwB9LQQzGZite7G,175000000000
1NpBmGAPNQvtnKnJUzNkfbG8Fsi8XTPA95NvBRdPJudULRt,159800000000
114EHpiRi5ruxGWERk2HM8aABS31NRp9M1cs6URhFtpsx4a,60000000000
12rkhg2LLkedcoUZNrGqvjjaXSuNqSWctcjnbtHsReGhrBBq,50000000000
1pVSPVU2vfs1oE2FmxcMEkfjHXDC7mUtJHUr1CWpkxnihSt,100000000000
16pyEwt9BikT4nStHoGDBvXkrd2erEjVzTdFKxuFs6Xdi17,50000000000
148ENKQy15AvPcgcEm1ckmjvE3PWU3kUaTEThXXS4dotjJtF,50000000000
16zAU6GzDZ1CXhzuzkSHLF3CCHnxQr9j2dHWDbcaSLk9PPk,50000000000
16mP9YKpKFDaKSuR7PMoe1SUHrx3n3eXmP9HhWJ7RnE5hGJZ,50000000000
13sFedYs49eZFztzYTpwAbgrxyMWPVazpotFzkPasgyoNsBq,70000000000
12uJGU2jJCgZpZUvTiiSvgKgpJfZtrodEnuxJ44Gfu2GqQWm,1680000000000
131aJtxVpd9o2G13e7odjJQNpRye8qx7zhyUHW9TzVNquZiU,2000000000000
15VqMyTbvJfoqrCcCUZPG7Hvo671UboSvqHFbih6P8kpxQ7V,2000000000000
13dwUgitpYHM9KqwXGCidp1uSvpsWphky5TscwS5HoJ15Fr2,50000000000
12ThHnZ3D3vxGgLuRp6DutpmQvuc5LXBowiX2VKDPgeMZFZS,220000000000
14M6yZ54opSM8X8ypDjznpCRv7YyTmMXyxs9z8NvYwWvNYqL,480000000000
16aa7w4jb7VLqAE8nsDNQc8AsyEeYUB1JAsEDKmErLDG1beN,72400000000
14wU2Frvcr52APJHi9ms3tHiLsy6jJpzGxco8pRtH3AW71Xh,970000000000
12WKiakqtQam1gvTB3oavXfPTHtPngrWthGdRKDF6tPjaxUz,200000000000
14SZXsyFYEZohwFp5JnLFqRDobKmWK591REhHaEhyo1gmtxo,51000000000
15kZ3SZuuLM2ZtQmBBVkGUJ25C7bojKzoEhj6hfyzxeoBmuT,80000000000
13Av1VkJ771LCycosWXX6BfgBWgJFpGBir7B97QgjFQLasWn,276000000000
12NxGgb5vsuKvgDdkcP9WaUbEEuZVYQFWNkn1NqywhDkStWp,120000000000
15DMESj6fpKTEyvaPh9FZ6e4NvxsBeLLiTCbpvXvW6X7MfgJ,100000000000
15YL9VZsztwgGbdKHr4gXe65Ntp1qZ25rgukHz3gDYPRcATv,50000000000
16SvKh7ueX3nH9mA9jP59EaTwtgphD8WroabEsskWjZs1EZ9,606800000000
11fWR4wjH1DdXaUjMdrsq7ZudBoraGog872HPxCifoXiXF3,88000000000
12RWYg8doMBnuBuA41LqvpFPWnJ1JzJVTk7He7rtvahmwXUD,58000000000
